timeinterval,price_shortage,price_surplus,regulation_state,jaar
2015-01-04 13:00:00,-37.78,-37.78,-1,2015
2015-01-04 13:15:00,34.1,34.1,-1,2015
2015-01-04 13:30:00,34.71,34.71,-1,2015
2015-01-04 13:45:00,34.1,34.1,-1,2015
2015-01-04 14:00:00,35.1,35.1,-1,2015
2015-01-04 14:15:00,34.1,34.1,-1,2015
2015-01-04 14:30:00,0.0,0.0,0,2015
2015-01-04 14:45:00,34.1,34.1,-1,2015
2015-01-04 15:00:00,31.74,31.74,-1,2015
2015-01-04 15:15:00,2.78,2.78,-1,2015
2015-01-04 15:30:00,42.15,38.33,2,2015
2015-01-04 15:45:00,42.36,42.36,1,2015
2015-01-04 16:00:00,55.5,33.04,2,2015
2015-01-04 16:15:00,57.76,33.04,2,2015
2015-01-04 16:30:00,58.99,58.99,1,2015
2015-01-04 16:45:00,54.12,54.12,1,2015
2015-01-04 17:00:00,55.96,30.47,2,2015
2015-01-04 17:15:00,55.96,30.47,2,2015
2015-01-04 17:30:00,37.78,37.78,-1,2015
2015-01-04 17:45:00,31.74,31.74,-1,2015
2015-01-04 18:00:00,55.28,37.78,2,2015
2015-01-04 18:15:00,56.11,56.11,1,2015
2015-01-04 18:30:00,52.59,52.59,1,2015
2015-01-04 18:45:00,46.57,46.57,1,2015
2015-01-04 19:00:00,55.99,55.99,1,2015
2015-01-04 19:15:00,51.0,51.0,1,2015
2015-01-04 19:30:00,51.0,16.78,2,2015
2015-01-04 19:45:00,16.78,16.78,-1,2015
2015-01-04 20:00:00,30.47,30.47,-1,2015
2015-01-04 20:15:00,32.06,32.06,-1,2015
2015-01-04 20:30:00,32.38,32.38,-1,2015
2015-01-04 20:45:00,30.47,30.47,-1,2015
2015-01-04 21:00:00,46.67,31.78,2,2015
2015-01-04 21:15:00,46.67,14.78,2,2015
2015-01-04 21:30:00,-54.51,-54.51,-1,2015
2015-01-04 21:45:00,18.78,18.78,-1,2015
2015-01-04 22:00:00,48.96,-39.9,2,2015
2015-01-04 22:15:00,62.12,35.2,2,2015
2015-01-04 22:30:00,-0.78,-0.78,-1,2015
2015-01-04 22:45:00,-0.78,-0.78,-1,2015
2015-01-04 23:00:00,23.5,23.5,-1,2015
2015-01-04 23:15:00,23.5,23.5,-1,2015
2015-01-04 23:30:00,6.03,6.03,-1,2015
2015-01-04 23:45:00,-96.5,-96.5,-1,2015
2015-01-05 00:00:00,-150.03,-150.03,-1,2015
2015-01-05 00:15:00,47.1,29.92,2,2015
2015-01-05 00:30:00,27.29,27.29,-1,2015
2015-01-05 00:45:00,27.5,27.5,-1,2015
2015-01-05 01:00:00,-150.03,-150.03,-1,2015
2015-01-05 01:15:00,28.5,28.5,-1,2015
2015-01-05 01:30:00,21.89,21.89,-1,2015
2015-01-05 01:45:00,27.99,27.99,-1,2015
2015-01-05 02:00:00,-21.95,-21.95,-1,2015
2015-01-05 02:15:00,-21.95,-21.95,-1,2015
2015-01-05 02:30:00,-150.03,-150.03,-1,2015
2015-01-05 02:45:00,-433.6,-433.6,-1,2015
